ID,author,title,issued,containerTitle,volume,issue,page,link,citation
103,"Ustjuzhanin, P.Y. & Kovtunovich, V.N.","Two new species of the many-plumed moth genus Alucita Linnaeus (Lepidoptera, Alucitidae) from Madagascar",2016,Entomological Review,96,,1115–1118,https://doi.org/10.1134%2Fs0013873816080169,
104,"Vargas, H.A.",A new species of Alucita L. (Lepidoptera: Alucitidae) from Northern Chile,2011,Neotropical Entomology,40,,85–88,http://dx.doi.org/10.1590/S1519-566X2011000100012,
105,"Viette, P.E.L.",Nouveaux Microlépidoptères de Madagascar,1956,Bulletin de la Société Zoologique de France,81,,88–99,,
106,"Viette, P.E.L.",Un nouveau Microlépidoptère parasite du caféier,1958,,,,457-459,,
107,"von Siebold, C.T. & Stannius, H.","Lehrbuch der vergleichenden Anatomie der Wirbellosen Thiere, Erster Theil",1848,,,,1-679,https://www.biodiversitylibrary.org/page/11149410,
108,"Walker, F.A.","List of the specimens of lepidopterous insects in the collection of the British Museum, part XVI. Deltoides",1859,,,,,http://www.biodiversitylibrary.org/item/120189,
109,"Walker, F.A.","List of the specimens of lepidopterous insects in the collection of the British Museum, part XXIX. Tineites",1864,,,,,https://www.biodiversitylibrary.org/page/38948139,
110,"Walker, F.A.","List of the specimens of lepidopterous insects in the collection of the British Museum, part XXXV. Supplement, part 5",1866,,,,,https://biodiversitylibrary.org/page/38720428,
111,"Wallengren, H.D.J.","Skandinaviens Fjädermott (Alucita, Lin.) Beskrifna af H.D.J. Wallengren",1859,Till Kongliga Svenska Vetenskaps-Akademiens Förhandlingar,3,,1–25,https://biodiversitylibrary.org/page/2566844,
112,"Wallengren, H.D.J.",Insecta Transvaaliensia.-- Bidrag till Transvaalska Republikens i Södra Afrika insektfauna,1875,,,,83-137,https://www.biodiversitylibrary.org/part/40968,
113,"Walsingham, T. de Grey","On the Tortricidae, Tineidae and Pterophoridae of South Africa",1881,Transactions of the Entomological Society of London,1881,,"219–285, Plate 13",https://biodiversitylibrary.org/page/14698206,
114,"Walsingham, T. de Grey",Entomologist's Monthly Magazine,1885,,,,,http://www.biodiversitylibrary.org/item/36504#page/206/mode/2up,
115,"Walsingham, T. de Grey",Microlepidoptera,1907,"Fauna Hawaiiensis, or the Zoology of the Sandwich (Hawaiian) Isles",1(5),,469--751,https://www.biodiversitylibrary.org/page/38854843,
116,"Walsingham, T. de Grey","A gigantic new species of Orneodina (Lepi.), Orneodes dohertyi sp. n.",1909,The Entomologist's Monthly Magazine,45,,174–175,https://biodiversitylibrary.org/page/9016367,
117,"Walsingham, T. de Grey",Biologia Centrali-Americana; or contribution to the knowledge of the flora and fauna of Mexico and Central America,1915,(Zool.) Lepid.-Heterocera,,,,https://biodiversitylibrary.org/page/593138,
118,"Wocke, M.F.","Die Schmetterlinge Deutschlands und der Schweiz, systematisch bearbeität M.F. Wocke, nebst analytischen Tabellen, &c (2)",1876,,,,,,
119,"Yang, C.Z.",Moths of North China 1,1977,,,,,,
120,"Zagulajev, A.K.","A guide to the insects of the European part of the USSR, Lepidoptera. Family Alucitidae",1986,Opredeliteli po Faune SSSR,43,,215–228,,
121,"Zagulajev, A.K.","New species of Microlepidoptera (Psychidae, Alucitidae) from the Crimea, Caucasus and Central Asia. Lepidoptera of arid zone of Eurasia",1992,Proceedings of the Zoological Institute of the Russian Academy of Sciences,248,,18–34,,
122,"Zagulajev, A.K.",New and little known species of alucits and incurvariid moths from North Caucasus and Zailijskiy Alatau,1993,Proceedings of the Zoological Institute of the Russian Academy of Sciences,251,,3-16,,
123,"Zagulajev, A.K.","New and little known species of moths of the fauna of Russia and neighbouring territories, VII",1994,Entomologicheskoe Obozrenie,73,,114–127,,
124,"Zagulajev, A.K.","New and little known species of moths of the fauna of Russia and neighbouring territories, VIII",1995,Entomologicheskoe Obozrenie,74,,105–119,,
125,"Zagulajev, A.K.",New species of the Multiplumed moths (Lepidoptera: Alucitidae) of the fauna of Russia and neighbouring countries. XII,2000,Entomological Review,79,,880–890,,
126,Zeller,"Isis, oder Encyclopädische Zeitung, von Oken",1847,,,,,https://www.biodiversitylibrary.org/item/47565,
127,"Zeller, P.C.","Vorläufer einer vollständigen Naturgeschichte den Pterophoriden, einer Nachtfalterfamilie",1841,Isis von Oken,1841,,"756–794, 827–891, Plate 4",https://www.biodiversitylibrary.org/item/47575,
128,"Zeller, P.C.",Revision der Pterophoriden,1852,Linnaea entomologica,6,,319–413,https://biodiversitylibrary.org/page/44485159,
129,"Zeller, P.C.",Exotische Microlepidoptera,1877,Horae Societatis Entomologicae Rossicae Variis Sermonibus in Rossia Usitatis ed,13,,3–493,https://biodiversitylibrary.org/page/12834243,
130,"Zimmerman, E.C.",Lepidoptera: Pyraloidea,1958,Insects of Hawaii,8,,1-456,http://hdl.handle.net/10125/7337,
131,"Ustjuzhanin, P., Kovtunovich, V. & Streltzov, A.",New species of many-plumed moth (Lepidoptera: Alucitidae) from the Democratic Republic of Congo,2020,Russian Entomological Journal,29(2),,199-202,https://kmkjournals.com/upload/PDF/REJ/29/ent29_2_199_202_Ustjuzhanin_et_al_for_Inet.pdf,
132,"Ustjuzhanin, P., Kovtunovich, V. & Streltzov, A.",New species of many-plumed moths (Lepidoptera: Alucitidae) from Liberia and Ghana (Western Africa),2020,Ecologica Montenegrina,32,,26-31,https://www.researchgate.net/publication/342337863,
133,"Buchsbaum, U. & Chen, M.-Y.","A new Alucitidae species from Taiwan (Lepidoptera, Alucitidae) (Contribution to the moths of Taiwan 15)",2019,Spixiana,42(2),,285-290,https://www.pfeil-verlag.de/wp-content/uploads/2020/02/SPIX_42_2_14_BU.pdf,
134,"Fletcher, T.B.",The plume-moths of Ceylon,1909,Spolia Zeylanica,6: 1-39,,5 pl.,https://www.biodiversitylibrary.org/page/59021966,
135,"Hampson, G.F.","Descriptions of new Pyralidae of the subfamily Hydrocampinae, Scoparianae, &c",1917,Ann. Mag. nat. Hist. (Series 8),20,,265-282,https://www.biodiversitylibrary.org/page/15611279,
136,"Hampson, G.F.",On new Thyrididae and Pyralidae,1906,Ann. Mag. nat. Hist. (Series 7),17,,189-222,https://www.biodiversitylibrary.org/page/19245407,
137,"Meyrick, E.",New microlepidoptera with notes on others,1939,Trans. Roy. Ent. Soc. London,89,,47-62,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2311.1939.tb01022.x,
138,"Meyrick, E.",Exotic Microlepidoptera,1934,,4(20),,609-642,,
139,"Caradja, A.",Materialen zu einer Mikrolepidopterenfauna des Yangstetales bei Batang,1939,Deutsche entomologische Zeitschrift Iris,53,,15-26,https://www.biodiversitylibrary.org/part/101207,
140,"Rebel, H.",Lepidopteren,1905,Annalen des K.K. Naturhistorischen Hofmuseums,20,,189-219,https://www.biodiversitylibrary.org/page/5325333,
141,"Legrand, H.",Lépidoptères des îles Seychelles et d'Aldabra,1965,Mém. Mus. Nat. Hist. (A),37,,1-210,,
142,"Rebel, H.","Zoologische Ergebnisse der Expedition der Kaiserlichen Akademie der Wissenschaften nach Südarabien und Sokótra im Jahre 1898/99, Lepidopteren",1907,Denkschriften der Akademie der Wissenschaften,71(2),,31-130,https://www.zobodat.at/pdf/DAKW_71_2_0031-0130.pdf,
143,"Whalley, P.E.S.","The Natural history of Rennell Island, British Solomon Islands",1962,,4: 119-120,,plates.,,
144,"Caradja, A. & Meyrick, E.",Materialien zu einer Mikrolepidopterenfauna des Yuelingshanmassivs (Provinz Yuennan),1937,Deutsche entomologische Zeitschrift Iris,51,,137-182,,
145,"Meyrick, E.",The Micro-Lepidoptera of the St. George Expedition,1929 (dated 31 December 1928),Trans. ent. Soc. London,76,,489-521,,
146,"Hashimoto, S.",The genus Alucita of Japan,1984,Tyô to Ga,34,,111-123,https://www.jstage.jst.go.jp/article/lepid/34/3/34_KJ00006597483/_article,
147,"Orfila, R.N.",Orneodes riggii sp. nov.,1949,Comunicaciones del Museo Argentino de Ciencias Naturales Bernardino Rivadavia e Instituto Nacional de Investigacion de las Ciencias Naturales (Argentina). Zoologia,1: 1-8,,1 plate,,
148,"Zeller, P.C.",Bemerkungen über die auf einer Reise nach Italien und Sicilien beobachteten Schmetterlingsarten,1847,Isis von Oken,40,,881-914,https://www.biodiversitylibrary.org/page/13234103,
149,"Titova, O., Ustjuzhanin, P., Kovtunovich, V. & Streltsov, A.",First reliable record of many-plumed moth Pterotopteryx spilodesma (Lepidoptera: Alucitidae) on Sakhain Island,2020,Ecologica Montenegrina,35,,23-35,https://doi.org/10.37828/em.2020.28.5,
150,"Kovtunovich, V., Ustjuzhanin, P. & Streltsov, A.",New species of many-plumed moths (Lepidoptera: Alucitidae) from the Republic of South Africa,2019,Ecologica Montenegrina,26,,1-3,https://doi.org/10.37828/em.2019.26.1,
151,"Moreira, G.R.P., Pereira, C.M., Becker, V.O., Specht, A. & Gonçalves, G.L.",A new cecidogenous species of many-plumed moth (Alucitidae) associated with Cordiera A. Rich. ex DC. (Rubiaceae) in the Brazilian Cerrado,2019,Zoologia,36: e34604,,1-15,https://doi.org/10.3897/zoologia.36.e34604,
152,"Diakonoff, A.",Microlepidoptera of New Guinea : results of the third Archbold expedition : (American-Netherlands Indian expedition 1938-1939) : part I,1952,,,,167 pp.,https://www.biodiversitylibrary.org/page/51541288,
153,"Farfán, J., Cerdeña, J., Condori-Mamani, M., Huanca-Mamani, W. & Vargas, H.A.",First record of Alucita danunciae (Lepidoptera: Alucitidae) in Peru,2020,Studies on Neotropical Fauna and Environment,55(2),,103-108,https://doi.org/10.1080/01650521.2019.1702617,
154,"Bippus, M.","Records of Lepidoptera from the Malagasy region with description of new species (Lepidoptera: Tortricidae, Noctuidae, Alucitidae, Choreutidae, Euteliidae, Gelechiidae, Blastobasidae, Pterophoridae, Tonzidae, Tineidae, Praydidae, Cosmopterigidae, Batrachedridae)",2020,Phelsuma,28,2020,60-100,https://islandbiodiversity.com/Phelsuma28h.pdf,
155,"Buchsbaum, I., Chen, M.-Y. & Chen, D.J.","Pterotopteryx taoa sp. nov. from Lanyu Island, Taiwan",2020,Spixiana,43(1),,137-145,https://www.pfeil-verlag.de/wp-content/uploads/2020/12/SPIX_43_1_16_BU.pdf,
156,"Kovtunovich, V., Ustjuzhanin, P., Streltzov, A.N. & Usjuzhanina, A.K.",New species of Alucitidae from Republic of South Africa (Lepidoptera: Alucitidae),2021,SHILAP Revista de Lepidopterología,49(193),,123-127,,
157,"Ustjuzhanin, P., Kovtunovich, V. & Streltzov, A.","Two new species and new records of many-plumed moths of the genus Microschismus Fletcher, 1909 (Lepidoptera: Alucitidae) from the Republic of South Africa with corld catalogue of the genus",2020,Russian Entomological Journal,29,4,423-427,https://doi.org/10.15298/rusentj.29.4.10,
