ID,author,title,issued,containerTitle,volume,issue,page,link,citation
51,"Meyrick, E.",Descriptions of Indian Micro-Lepidoptera. II,1906,The Journal of the Bombay Natural History Society,17,,133–153,https://www.biodiversitylibrary.org/page/30119297,
52,"Meyrick, E.",Descriptions of Indian Micro-lepidoptera,1907,The Journal of the Bombay Natural History Society,17,,730–754,https://www.biodiversitylibrary.org/part/244333,
53,"Meyrick, E.",XXVII. Notes and Descriptions of Pterophoridae and Orneodidae.,1908,Transactions of the Entomological Society of London,1907,,471–511. [1907],https://biodiversitylibrary.org/page/13535013,
54,"Meyrick, E.",Descriptions of Transvaal Micro-Lepidoptera,1909,Annals of the Transvaal Museum,2,,"1–28, 8 plates",https://biodiversitylibrary.org/page/50494886,
55,"Meyrick, E.",Descriptions of Indian Microlepidoptera,1911,The Journal of the Bombay Natural History Society,21,,104–131,https://www.biodiversitylibrary.org/part/69016,
56,"Meyrick, E.",Descriptions of Transvaal Micro-Lepidoptera II,1911,Annals of the Transvaal Museum,2,,218–240,https://biodiversitylibrary.org/page/50495141,
57,"Meyrick, E.",Descriptions of South African Micro-Lepidoptera. IV.,1913,Annals of the Transvaal Museum,3,,267–336,https://biodiversitylibrary.org/page/50477201,
58,"Meyrick, E.",Descriptions of South African Micro-Lepidoptera,1918,Annals of the Transvaal Museum,6,,1–59,https://biodiversitylibrary.org/page/50361285,
59,"Meyrick, E.",Descriptions of South African Micro-lepidoptera,1920,Annals of the South African Museum. Annale van die Suid-Afrikaanse Museum,17,,273–318,https://www.biodiversitylibrary.org/part/22317,
60,"Meyrick, E.",Insectes Lépidoptères. II: Microlepidoptera,1920,Voyage de Ch. Alluaud et R. Jeannel en Afrique orientale (1911-1912). Résultats scientifiques.,10,,39-120,https://www.biodiversitylibrary.org/page/56561436,
61,"Meyrick, E.",Descriptions of South African Micro-Lepidoptera,1921,Annals of the Transvaal Museum,8,,49–148,https://biodiversitylibrary.org/page/50414570,
62,"Meyrick, E.",Exotic Microlepidoptera,1921,,2(13-15),,385-480,https://www.biodiversitylibrary.org/page/9808803,
63,"Meyrick, E.",Exotic Microlepidoptera,1924,,3(3-4),,65-128,https://www.biodiversitylibrary.org/page/60297425,
64,"Meyrick, E.",Exotic Microlepidoptera,1927,,3(11-12),,321-384,https://www.biodiversitylibrary.org/page/60297681,
65,"Meyrick, E.",Insects of Samoa and other Samoan Terrestrial Arthropoda. Part III. Lepidoptera Fasc. 2 Micro-Lepidoptera,1927,,,,65-116,https://biodiversitylibrary.org/page/43091138,
66,"Meyrick, E.",Exotic Microlepidoptera,1929,,3(16-17),,481-544,https://www.biodiversitylibrary.org/page/60297841,
67,"Meyrick, E.",Exotic Microlepidoptera,1931,,4(2-6),,33-192,https://www.biodiversitylibrary.org/page/60386480,
68,"Meyrick, E.",Exotic Microlepidoptera,1932,,4(7-11),,193-352,https://www.biodiversitylibrary.org/page/60386641,
69,"Meyrick, E.",Exotic Microlepidoptera,1934,,4(15-17),,449-544,https://www.biodiversitylibrary.org/page/60386673,
70,"Meyrick, E.","XL.—The Percy Sladen and Godman trusts expedition to the Islands in the Gulf of Guinea, October 1932–March 1933.—III. Micro-Lepidoptera",1934,Annals and Magazine of Natural History,14,,401–411,https://doi.org/10.1080/00222933408654913,
71,"Meyrick, E.",Exotic Microlepidoptera,1937,,5(3-5),,65-160,,
