nameID,referenceID,page,link,remarks
343,66,534,https://www.biodiversitylibrary.org/page/60297894,Original description
345,51,134,,
347,53,506,,
349,80,24,,
350,92,2,,
351,22,23,,
352,22,24,,
353,22,24,,
354,22,24,,
355,22,24,,
356,49,1112,,
358,90,58,,
364,36,299,,
365,148,908,https://www.biodiversitylibrary.org/page/13234116,Original description
366,22,25,,
367,102,111-112,,
368,22,25,,
370,89,56,https://www.biodiversitylibrary.org/page/35546852,
369,89,55,https://www.biodiversitylibrary.org/page/35546851,
375,109,945,https://www.biodiversitylibrary.org/page/38948537,Original description
371,114,176,,
372,137,49,,Original description
373,135,279,https://www.biodiversitylibrary.org/page/15611293,Original description
378,48,203,,
377,48,203,,
380,89,58,https://www.biodiversitylibrary.org/page/35546854,
381,89,57,https://www.biodiversitylibrary.org/page/35546853,
379,89,55,https://www.biodiversitylibrary.org/page/35546851,Key
379,89,57,https://www.biodiversitylibrary.org/page/35546853,Original description
386,87,108,,
382,89,55,https://www.biodiversitylibrary.org/page/35546851,Key
382,89,59,https://www.biodiversitylibrary.org/page/35546855,Original description
383,89,59,https://www.biodiversitylibrary.org/page/35546855,New combination
385,89,59,https://www.biodiversitylibrary.org/page/35546855,New combination
387,89,59,https://www.biodiversitylibrary.org/page/35546855,New combination
384,87,108,https://www.biodiversitylibrary.org/page/26250863,Original description
386,87,108,https://www.biodiversitylibrary.org/page/26250863,Original description
388,87,107,https://www.biodiversitylibrary.org/page/26250862,Original description
390,66,539,https://www.biodiversitylibrary.org/page/60297899,Original description
389,66,539,https://www.biodiversitylibrary.org/page/60297899,Original description
392,66,540,https://www.biodiversitylibrary.org/page/60297900,Original description
391,66,539,https://www.biodiversitylibrary.org/page/60297899,Original description
393,69,507,https://www.biodiversitylibrary.org/page/60386731,Original description
394,77,487,,
395,17,253,https://www.biodiversitylibrary.org/page/25338570,Original description
396,54,5,,
397,17,253,https://www.biodiversitylibrary.org/page/25338570,Original description
403,113,"284, Pl. XIII. fig. 49",,
400,56,222,,
405,93,564,,
406,57,269,,
407,93,566,,
408,56,222,,
409,93,568,,
411,11,"16, fig'd",,
410,11,14,,
413,136,216,https://www.biodiversitylibrary.org/page/19245434,Original description
414,136,216,https://www.biodiversitylibrary.org/page/19245434,Original description
415,46,438,https://www.biodiversitylibrary.org/page/13718240,
417,110,1846,,
416,110,1846,,
419,25,318,https://www.biodiversitylibrary.org/page/22099805,Original description
418,25,318,https://www.biodiversitylibrary.org/page/22099805,Original description
421,67,86,https://www.biodiversitylibrary.org/page/60386534,Original description
420,67,86,https://www.biodiversitylibrary.org/page/60386534,Original description
427,31,pl.6 fig.29,,
422,26,173,,
423,121,30,,
425,28,194,,
431,8,88,,
430,6,42,,
433,95,17,,
435,37,116,,
442,53,508,,
445,2,33,,
446,121,26,,
448,124,117,,
451,89,57,https://www.biodiversitylibrary.org/page/35546853,
450,89,55,https://www.biodiversitylibrary.org/page/35546851,Key
450,89,56,https://www.biodiversitylibrary.org/page/35546852,
453,3,"403, text-figs 90-92, pl.5 fig.207",,
452,3,402,,
457,23,237,https://www.biodiversitylibrary.org/page/9825893,Original description
456,108,"407 (key, as *Careantia), 424",,
455,108,"407 (key); 407 (key, as *Careantia), 424",,
458,108,425,,
461,24,"247, fig.",https://www.biodiversitylibrary.org/page/14788067,Original description
460,24,247,https://www.biodiversitylibrary.org/page/14788067,Original description
464,75,241,,
471,118,644,,
462,101,376,,Original description
465,101,374,,Original description
466,101,379,,Original description
467,101,378,,Original description
238,115,477,https://www.biodiversitylibrary.org/page/38854851,Original description
239,115,477,https://www.biodiversitylibrary.org/page/38854851,Original description
239,130,413,,Synonymisation with Orneodes objurgatella
3,42,339,https://www.biodiversitylibrary.org/page/727250,Original description
4,42,343,https://www.biodiversitylibrary.org/page/727254,Original description
