ID,basionymID,scientificName,authorship,rank,uninomial,genus,specificEpithet,infraspecificEpithet,referenceID,publishedInPage,publishedInYear,code,status,remarks,link
1,1,Animalia,"Linnaeus, 1758",kingdom,Animalia,,,,41,9,1758,ICZN,established,,https://www.biodiversitylibrary.org/page/726898
2,2,Arthropoda,"von Siebold, 1848",phylum,Arthropoda,,,,106,4,1848,ICZN,established,,https://www.biodiversitylibrary.org/page/11149394
3,3,Insecta,"Linnaeus, 1758",class,Insecta,,,,41,339,1758,ICZN,established,,https://www.biodiversitylibrary.org/page/727250
4,4,Lepidoptera,"Linnaeus, 1758",order,Lepidoptera,,,,41,343,1758,ICZN,established,,https://www.biodiversitylibrary.org/page/727254
5,5,Alucitoidea,"Minet, 1986",superfamily,Alucitoidea,,,,72,,1986,ICZN,established,,
6,6,Alucitidae,"Leach, 1815",family,Alucitidae,,,,39,135,1815,ICZN,established,,
7,7,Tineodidae,"Meyrick, 1885",family,Tineodidae,,,,45,421,1885,ICZN,established,,https://www.biodiversitylibrary.org/page/13718223
8,8,Oxychirotidae,"Meyrick, 1885",family,Oxychirotidae,,,,45,437,1885,ICZN,established,,https://www.biodiversitylibrary.org/page/13718239
9,9,Alinguata,"Fleming, 1948",genus,Alinguata,,,,15,39,1948,ICZN,established,,
10,10,Alinguata neblina,"Fleming, 1948",species,,Alinguata,neblina,,15,40,1948,ICZN,established,,
11,11,Alucita,"Linnaeus, 1758",genus,Alucita,,,,40,542,1758,ICZN,established,,
12,12,Alucitina,"Heydenreich, 1851",genus,Alucitina,,,,29,94,1851,ICZN,established,,
13,13,Euchiradia,"Hübner, 1825",genus,Euchiradia,,,,31,431,1825,ICZN,established,,
14,14,Orneodes,"Latreille, 1796",genus,Orneodes,,,,38,148,1796,ICZN,established,,
15,15,Orneodus,"Latreille, 1796",genus,Orneodus,,,,,,,ICZN,established,Misspelling,
16,16,Alucita aarviki,"Ustjuzhanin & Kovtunovich, 2016",species,,Alucita,aarviki,,95,,2016,ICZN,established,,
